Positions	Ratio of complementary nucleotides
0	0.6279346211
1	0.67072808321
2	0.668350668648
3	0.657949479941
4	0.689450222883
5	0.675482912333
6	0.687369985141
7	0.701337295691
8	0.654383358098
9	0.665378900446
10	0.67072808321
11	0.704606240713
12	0.677265973254
13	0.683803863299
14	0.678454680535
15	0.684101040119
16	0.666268656716
17	0.674258970359
18	0.665359477124
19	0.681786941581
20	0.605494505495
21	0.544151641239
22	0.569974554707
23	0.56846473029
24	0.495412844037
25	0.652173913043
26	0.375
27	0
