Positions	Ratio of complementary nucleotides
0	0.594611727417
1	0.676069730586
2	0.714738510301
3	0.68145800317
4	0.696038034865
5	0.665927099842
6	0.68969889065
7	0.696988906498
8	0.645641838352
9	0.670681458003
10	0.663391442155
11	0.697305863708
12	0.697622820919
13	0.686846275753
14	0.684310618067
15	0.690649762282
16	0.683959261617
17	0.663419549882
18	0.64701754386
19	0.669409124907
20	0.624401913876
21	0.565775950668
22	0.607407407407
23	0.582159624413
24	0.515789473684
25	0.434782608696
26	0.375
27	0
