Positions	Ratio of complementary nucleotides
0	0.614893617021
1	0.675683890578
2	0.683282674772
3	0.708814589666
4	0.69726443769
5	0.700911854103
6	0.72188449848
7	0.720668693009
8	0.668693009119
9	0.70273556231
10	0.721580547112
11	0.722796352584
12	0.68085106383
13	0.716109422492
14	0.709118541033
15	0.708510638298
16	0.686945888108
17	0.675675675676
18	0.651655629139
19	0.644823980481
20	0.578753227591
21	0.530631479736
22	0.592592592593
23	0.483870967742
24	0.575757575758
25	0.62962962963
26	0.375
27	0
