Positions	Ratio of complementary nucleotides
0	0.400889767672
1	0.447025869171
2	0.514747075301
3	0.528587905751
4	0.569780853518
5	0.599275004119
6	0.632888449497
7	0.65793376174
8	0.659581479651
9	0.66716098204
10	0.666996210249
11	0.636513428901
12	0.645740649201
13	0.62860438293
14	0.586752347998
15	0.56549678695
16	0.524606462303
17	0.504755317309
18	0.45466179159
19	0.398226600985
20	0.351742965141
21	0.323877719636
22	0.344913151365
23	0.303703703704
24	0.395209580838
25	0.12
26	0.0
27	0
