Positions	Ratio of complementary nucleotides
0	0.56032960565
1	0.639199529135
2	0.673925838729
3	0.685991759859
4	0.68540317834
5	0.695409064155
6	0.70982931136
7	0.700706297822
8	0.698057680989
9	0.722483814008
10	0.700117716304
11	0.726898175397
12	0.685108887581
13	0.72572101236
14	0.720423778693
15	0.706886403767
16	0.671103223898
17	0.682994454713
18	0.604807692308
19	0.626530612245
20	0.554391037224
21	0.506413301663
22	0.521739130435
23	0.426666666667
24	0.455445544554
25	0.379310344828
26	0.545454545455
27	0
